"Photo.Order","Timepoint","Site","Photo.Rep","Photo.Name","ROI.Type","ROI.Rep","ROI.LabelCode","Area","StdDev","Mode","Perim.","Feret","MinFeret","Cal.Length","Mod_Bleached","Sev_Bleached","Partial_Mortality","Cal.nums","Cal.Length.mean","Diameter.circular","Volume.spherical","Geom.Mean.D"
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","13","b",22.1114682504729,41.777,42,18.4062677871899,6.36246087814709,4.89155892711657,318.567,"TRUE","FALSE","FALSE","4",313.6035,5.30595851554252,78.2150221698299,5.57874110413185
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","14","b",26.2539368264146,39.479,86,20.2751882552331,7.85880897375189,4.89350405846873,318.567,"TRUE","FALSE","FALSE","4",313.6035,5.78165638657036,101.194161016703,6.20137997608479
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","15","b",29.7263300976077,36.108,105,21.0968627582281,7.23113740758633,5.66138451898656,318.567,"TRUE","FALSE","FALSE","4",313.6035,6.15213288219014,121.920221906887,6.39830050669503
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","16","bb",10.414129394893,35.221,185,13.9343151463552,5.43444189876707,2.83702190823763,318.567,"FALSE","TRUE","FALSE","4",313.6035,3.64138454019439,25.2812331854316,3.92652909397685
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","17","b",53.0945708468199,30.751,79,32.7913432088609,10.1028846935701,7.66343487875614,318.567,"TRUE","FALSE","FALSE","4",313.6035,8.22205006144537,291.030812995674,8.79902261258353
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","18","b",69.7559577111742,33.166,99,40.035012364339,12.6076399019781,8.29793034835389,318.567,"TRUE","FALSE","FALSE","4",313.6035,9.42422643184791,438.263960293675,10.2282607399177
"9","2016_during-bleaching","North","9","IMG_7058.JPG","Pa","19",NA,54.2059400548474,15.792,66,28.6761786778528,10.4179959726215,7.80750214841352,318.567,"FALSE","FALSE","FALSE","4",313.6035,8.30765589305283,300.216198223415,9.0187873873601
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","1","b",106.412858605547,34.903,90,49.3210207588753,15.2320273079227,10.0090113013149,321.116,"TRUE","FALSE","FALSE","4",319.32125,11.6399767888469,825.762136135609,12.3473694958455
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","2","b",6.59140889993901,35.626,109,9.89433055269576,3.77892169719366,2.15826538321518,321.116,"TRUE","FALSE","FALSE","4",319.32125,2.89697125752425,12.7300814198086,2.85585641882323
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","3","b",80.0334929470797,35.713,83,40.7546632114211,12.6746340871458,8.21802495136168,321.116,"TRUE","FALSE","FALSE","4",319.32125,10.0946425456033,538.606335317889,10.2059031534472
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","4","b",47.8217944917164,26.998,78,31.3060593367964,9.53384718367475,7.56182058037165,321.116,"TRUE","FALSE","FALSE","4",319.32125,7.80311475290807,248.7726334059,8.49077392489224
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","5","b",195.181611048499,32.961,119,63.6544545657391,18.3312259988961,14.941567465366,321.116,"TRUE","FALSE","FALSE","4",319.32125,15.7642933743339,2051.26678522911,16.5498413885263
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","6","b",140.244703988853,44.709,68,78.9265668977558,19.676798835029,10.9945391983778,321.116,"TRUE","FALSE","FALSE","4",319.32125,13.3628254144954,1249.37699647375,14.7084103862491
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","7","b",11.9108259321171,22.375,85,17.9837702627057,5.02948049965356,4.17460472799728,321.116,"TRUE","FALSE","FALSE","4",319.32125,3.89426945488221,30.9226437399085,4.58214939446804
"10","2016_during-bleaching","North","10","IMG_7061.JPG","Pa","8","b",60.640765735743,17.232,75,36.8926277220824,11.3447507799747,7.46201513366242,321.116,"TRUE","FALSE","FALSE","4",319.32125,8.78693467358038,355.230964717243,9.20079898746842
"11","2016_during-bleaching","Northwest","1","IMG_6137.JPG","Pa","1","b",11.1659871921553,27.965,101,12.7965517984526,4.54979849572207,3.22620633176009,0,"TRUE","FALSE","FALSE","4",290.00625,3.77054060435084,28.0678720637886,3.83126463653075
"11","2016_during-bleaching","Northwest","1","IMG_6137.JPG","Pa","2","b",14.1587238296438,40.382,87,14.0579384064999,4.97127217085839,4.04774035042348,0,"TRUE","FALSE","FALSE","4",290.00625,4.24587412471055,40.0774394314715,4.48580193041566
"11","2016_during-bleaching","Northwest","1","IMG_6137.JPG","Pa","3","b",4.33750625886299,25.461,105,7.81345229628672,2.82204262839163,2.15202258572013,0,"TRUE","FALSE","FALSE","4",290.00625,2.35003925378293,6.79553998123812,2.46436593755144
"12","2016_during-bleaching","Northwest","2","IMG_6138.JPG","Pa","1","b",11.8716675658918,41.106,90,13.2838073632433,4.7072502311611,3.47469172255322,0,"TRUE","FALSE","FALSE","4",299.30425,3.8878627299383,30.7702759144321,4.04428527853837
"12","2016_during-bleaching","Northwest","2","IMG_6138.JPG","Pa","2","b",0.993491690986716,36.289,98,3.83188678410013,1.42259924474845,0.995876269715515,0,"TRUE","FALSE","FALSE","4",299.30425,1.12470125292457,0.744920899748604,1.1902658649059
"12","2016_during-bleaching","Northwest","2","IMG_6138.JPG","Pa","3","b",15.8724251170114,32.989,126,15.302154914272,5.8005190370668,4.10241418222428,0,"TRUE","FALSE","FALSE","4",299.30425,4.49548655095603,47.5695157630541,4.87812787469996
"13","2016_during-bleaching","Northwest","3","IMG_6145.JPG","Pa","3",NA,24.1149488287935,24.215,130,18.3053270821237,6.1459552795172,5.357758188637,0,"FALSE","FALSE","FALSE","2",264.3755,5.541128627643,89.082688872916,5.73833967501315
"13","2016_during-bleaching","Northwest","3","IMG_6145.JPG","Pa","4","bbpm",27.487178694677,30.682,132,20.6267978689402,7.69375377067845,4.99997163125933,0,"FALSE","TRUE","TRUE","2",264.3755,5.91589070954363,108.407430047604,6.20230203966936
"13","2016_during-bleaching","Northwest","3","IMG_6145.JPG","Pa","1","bb",29.6661800038584,40.172,232,20.7937195390647,7.31206182115968,5.37137518416041,0,"FALSE","TRUE","FALSE","2",264.3755,6.1459054273674,121.550357796648,6.26704295591021
"13","2016_during-bleaching","Northwest","3","IMG_6145.JPG","Pa","2","bb",26.3640558925054,36.094,163,20.0986853925572,7.14933872465489,5.61190428008647,0,"FALSE","TRUE","FALSE","2",264.3755,5.79376893929556,101.831498762567,6.33414592416995
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","1","bbpm",186.034867663839,47.76,116,92.9715130579802,25.8805031973089,17.6213495506688,0,"FALSE","TRUE","TRUE","4",298.6105,15.3904824553739,1908.77757791208,21.3553130013817
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","2","bb",14.2853569018228,49.16,235,14.3172460445966,5.13729423446262,3.48279782526067,0,"FALSE","TRUE","FALSE","4",298.6105,4.26481902524084,40.6163079314997,4.22991219619398
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","3","b",305.136703770801,42.633,90,84.396998765951,23.399880446267,20.5944198211382,0,"TRUE","FALSE","FALSE","4",298.6105,19.7107107378482,4009.64086901781,21.9523794080474
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","4",NA,101.255793998413,33.033,67,37.2889767774409,13.3930320601586,9.6190522436418,0,"FALSE","FALSE","FALSE","4",298.6105,11.3544212116839,766.467290120978,11.3502544062869
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","5","b",12.0255834556639,35.57,111,14.2868050520662,4.69819380095476,3.93298293261623,0,"TRUE","FALSE","FALSE","4",298.6105,3.9129845903433,31.3706151679333,4.29859465794095
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","6",NA,31.9833642238252,24.72,103,26.0119118383312,8.72534622861554,6.63948521569067,0,"FALSE","FALSE","FALSE","4",298.6105,6.38141709210753,136.066124747346,7.61129471815901
"14","2016_during-bleaching","Northwest","4","IMG_6152.JPG","Pa","7","b",51.431995044316,35.292,131,31.0832673331983,10.9246325899458,6.896040159338,0,"TRUE","FALSE","FALSE","4",298.6105,8.09229571599098,277.468608774658,8.67967194462318
"15","2016_during-bleaching","Northwest","5","IMG_6153.JPG","Pa","1","bb",8.49824654837643,52.23,240,11.5726792564534,3.97282175636302,3.20170449167288,0,"FALSE","TRUE","FALSE","4",290.5265,3.28942298379244,18.6362183454428,3.56648303822732
"15","2016_during-bleaching","Northwest","5","IMG_6153.JPG","Pa","7",NA,40.1655589687798,21.253,72,23.4846390948846,8.64217205659381,6.53455020454244,0,"FALSE","FALSE","FALSE","4",290.5265,7.15125010158662,191.489305103847,7.51483247851248
"15","2016_during-bleaching","Northwest","5","IMG_6153.JPG","Pa","2","bb",13.5808448604544,36.683,96,13.7030184854049,5.11753661025758,3.57247961889879,0,"FALSE","TRUE","FALSE","4",290.5265,4.15832523105682,37.6490465615305,4.27578007375422
"15","2016_during-bleaching","Northwest","5","IMG_6153.JPG","Pa","3","b",26.6048549407976,35.048,135,19.4895474251058,6.65309360763992,5.40966142503352,0,"TRUE","FALSE","FALSE","4",290.5265,5.82016781481137,103.229813629437,5.99924860681625
"15","2016_during-bleaching","Northwest","5","IMG_6153.JPG","Pa","4","b",201.080147627226,42.781,59,67.003836138872,22.3473590188847,14.230130470026,0,"TRUE","FALSE","FALSE","4",290.5265,16.0007248467114,2144.95207621291,17.832718090612
